mode,count,exact_match_rate,encrypt_time_ms_mean,decrypt_time_ms_mean,cipher_entropy_mean,cipher_adj_corr_abs_mean,cipher_size_bytes_mean,chosen_plaintext_npcr_mean,chosen_plaintext_uaci_mean
passphrase_only,100,1.0,735.7106879999999,833.686361,7.999961349999999,0.00031522999999999995,4818294.4,99.60963390999997,33.46493957
x25519_only,100,1.0,680.720337,778.528095,7.99996141,0.00031981,4818294.4,99.60911315,33.462935609999995
hybrid,100,1.0,733.348483,833.446025,7.999961989999998,0.00039664,4818294.4,99.60936840000004,33.46473100000001
